# x  OriginalData  Fit  Background  peak0  peak1  peak2
4.025999999999999801e+01 2.800000000000000000e+01 2.272272664160920286e+01 2.128073342397655665e+01 1.212594128155937812e+00 1.994043670033047166e-01 2.999472247340432413e-02
4.028000000000000114e+01 2.100000000000000000e+01 2.276131316723276043e+01 2.131199525000917561e+01 1.219357510656450705e+00 1.999018047584022462e-01 3.005860180873247064e-02
4.029999999999999716e+01 1.600000000000000000e+01 2.279989835890803107e+01 2.134319689325471359e+01 1.226177673721758676e+00 2.004011064800937936e-01 3.012268545146519483e-02
4.032000000000000028e+01 2.000000000000000000e+01 2.283848286462084687e+01 2.137433835371311375e+01 1.233055255139760220e+00 2.009022814940744917e-01 3.018697427389910315e-02
4.034000000000000341e+01 3.100000000000000000e+01 2.287706734140633813e+01 2.140541963138446135e+01 1.239990901684442814e+00 2.014053391844429219e-01 3.025146915299167100e-02
4.035999999999999943e+01 2.000000000000000000e+01 2.291565245550157925e+01 2.143644072626869956e+01 1.246985269268347185e+00 2.019102889941406798e-01 3.031617097039119788e-02
4.038000000000000256e+01 1.700000000000000000e+01 2.295423888250184774e+01 2.146740163836591364e+01 1.254039023098071359e+00 2.024171404253966022e-01 3.038108061246707139e-02
4.039999999999999858e+01 1.000000000000000000e+01 2.299282730751930259e+01 2.149830236767596148e+01 1.261152837832832718e+00 2.029259030401727448e-01 3.044619897033992370e-02
4.042000000000000171e+01 2.300000000000000000e+01 2.303141842534573414e+01 2.152914291419895676e+01 1.268327397746251695e+00 2.034365864606167140e-01 3.051152693991249221e-02
4.043999999999999773e+01 1.700000000000000000e+01 2.307001294061755559e+01 2.155992327793481422e+01 1.275563396891324031e+00 2.039492003695161926e-01 3.057706542190016460e-02
4.046000000000000085e+01 1.800000000000000000e+01 2.310861156798499394e+01 2.159064345888361913e+01 1.282861539268754347e+00 2.044637545107589327e-01 3.064281532186236001e-02
4.047999999999999687e+01 2.700000000000000000e+01 2.314721503228398092e+01 2.162130345704531464e+01 1.290222538998637258e+00 2.049802586897948309e-01 3.070877755023349032e-02
4.050000000000000000e+01 2.200000000000000000e+01 2.318582406871204427e+01 2.165190327241992918e+01 1.297647120495655226e+00 2.054987227741049416e-01 3.077495302235476807e-02
4.052000000000000313e+01 3.400000000000000000e+01 2.322443942300736452e+01 2.168244290500740590e+01 1.305136018647781615e+00 2.060191566936716567e-01 3.084134265850584783e-02
4.053999999999999915e+01 1.600000000000000000e+01 2.326306185163189610e+01 2.171292235480785848e+01 1.312689978998645479e+00 2.065415704414549081e-01 3.090794738393677979e-02
4.056000000000000227e+01 2.000000000000000000e+01 2.330169212195758988e+01 2.174334162182120167e+01 1.320309757933615380e+00 2.070659740738729493e-01 3.097476812890046990e-02
