# x  Fit  Background  peak0  peak1
5.278000000000000114e+01 2.993905073772386771e+01 2.566372186133116884e+01 4.046832405506703978e+00 2.284964708859941185e-01
5.279999999999999716e+01 3.004222292292715579e+01 2.571904658545372513e+01 4.093218099247659225e+00 2.299582382257748525e-01
5.282000000000000028e+01 3.014592356335863954e+01 2.577408113230649178e+01 4.140408339404953786e+00 2.314340916471943344e-01
5.284000000000000341e+01 3.025017161259907894e+01 2.582882550188946880e+01 4.188421897810338024e+00 2.329242128992744243e-01
5.285999999999999943e+01 3.035498657958628499e+01 2.588327969420265617e+01 4.237278098708817886e+00 2.344287866748103188e-01
5.288000000000000256e+01 3.046038854835761356e+01 2.593744370924605391e+01 4.286996838443725366e+00 2.359480006678327246e-01
5.289999999999999858e+01 3.056639819862001062e+01 2.599131754702011676e+01 4.337598605967516008e+00 2.374820456323786799e-01
5.292000000000000171e+01 3.067303682718524271e+01 2.604490120752393523e+01 4.389104504218690472e+00 2.390311154426182638e-01
5.293999999999999773e+01 3.078032637031923713e+01 2.609819469075841880e+01 4.441536272406461094e+00 2.405954071543572881e-01
5.296000000000000085e+01 3.088828942703911196e+01 2.615119799672288536e+01 4.494916309248256248e+00 2.421751210679709554e-01
5.297999999999999687e+01 3.099694928341698841e+01 2.620391112541778966e+01 4.549267697206412997e+00 2.437704607927838329e-01
5.300000000000000000e+01 3.110632993793014833e+01 2.625633407684290432e+01 4.604614227774284529e+00 2.453816333129587857e-01
5.302000000000000313e+01 3.121645612791694901e+01 2.630846685099845672e+01 4.660980427863577802e+00 2.470088490549134930e-01
5.303999999999999915e+01 3.132735335718929548e+01 2.636030944788421948e+01 4.718391587348756744e+00 2.486523219563208376e-01
5.306000000000000227e+01 3.143904792486356570e+01 2.641186186749996523e+01 4.776873787826874107e+00 2.503122695367298589e-01
5.307999999999999829e+01 3.155156695547072943e+01 2.646312410984637609e+01 4.836453932654508847e+00 2.519889129698464347e-01
5.310000000000000142e+01 3.166493843040813516e+01 2.651409617492276993e+01 4.897159778327831781e+00 2.536824771575310056e-01
5.311999999999999744e+01 3.177919122080958303e+01 2.656477806272960152e+01 4.959019967274440610e+00 2.553931908055433464e-01
5.314000000000000057e+01 3.189435512189849220e+01 2.661516977326641609e+01 5.022064062130976225e+00 2.571212865010999438e-01
